상품ID,상품명,카테고리,공급사명,공급사코드,공급사URL,매입가,판매가,마진율,재고상태,룩북상태,갱신일,룩북이미지URL,소재,세탁정보,실측사이즈,모델정보,두께감,신축성,비침,안감,핏감,원산지,제조자,제조연월,색상옵션,fit_profile,unisex_score,성별
"PRD-M-11","남자 봄 가을 세미 와이드 청바지 밴딩 데님 팬츠 흑청 블랙진","의류-하의","도매꾹","PRD-M-11","https://www.domeggook.com/64229681","10000","17900","0.00%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/18HkRV2kNcc89rnMAivOuvqBSz6YQydl6","데님(코튼 100%)","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","XL(32): 허리단면 34-47, 허벅지단면 32, 엉덩이단면 59, 밑단 20, 총장 96 / 2XL(34): 허리단면 36-48, 허벅지단면 33, 엉덩이단면 60, 밑단 21, 총장 97 / 3XL(36): 허리단면 38-48, 허벅지단면 34, 엉덩이단면 61, 밑단 22, 총장 98 (단위 cm, 밴딩 허리)","177cm/70kg, XL 착용, 평소 100-105, 허리 31-32","두꺼움","보통","없음(비침 없음)","없음","JEANS","중국","N°1 협력업체","2026년 1월이후","UNKNOWN (상세 이미지 참조)","WIDE","70","MALE"
"PRD-M-12","남자 코듀로이 팬츠 골덴바지 밴딩 플리츠 와이드팬츠","의류-하의","도매꾹","PRD-M-12","https://www.domeggook.com/42686729","11500","20900","0.00%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1jNbwlOXDG_a6Wap5Xox3ikfkoTm_8tgV","폴리에스터 100%","단독 세탁 · 손세탁 · 찬물 세탁 · 이염 주의","XL(29-30): 허리단면 29-44, 허벅지단면 27, 밑위(앞/뒤) 33/36, 엉덩이단면 53, 밑단 21.5, 총장 100 / 2XL(31-32): 허리단면 30-47, 허벅지단면 29, 밑위(앞/뒤) 35/37, 엉덩이단면 54, 밑단 22, 총장 102 / 3XL(33-34): 허리단면 31-49, 허벅지단면 31, 밑위(앞/뒤) 37/39, 엉덩이단면 55, 밑단 22.5, 총장 104 (단위 cm, 밴딩 허리)","","","","","없음","JOGGER","중국","N°1 협력업체","2023년 10월이후","UNKNOWN (상세 이미지 참조)","WIDE","70","MALE"
"PRD-M-13","홀리데이 와이드 밴딩 슬랙스 와이드팬츠 정장 캐주얼 바지","의류-하의","도매꾹","PRD-M-13","https://www.domeggook.com/50202415","7600","13900","0.00%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1rIYRzU5Z0GxUssRhhx8ipZWS8nb5KM1i","폴리에스터 95%, 폴리우레탄 5%","미지근한 물에 중성세제로 손세탁 · 이염 우려 시 단독 세탁","SIZE 30(29-31인치): 허리단면 33, 엉덩이단면 53.5, 허벅지단면 31.5, 밑위 28, 밑단단면 25.5, 총장 103 / SIZE 32(31-32인치): 허리단면 35, 엉덩이단면 54, 허벅지단면 33, 밑위 29, 밑단단면 27, 총장 104 / SIZE 34(33-34인치): 허리단면 36.5, 엉덩이단면 57.5, 허벅지단면 34, 밑위 31.5, 밑단단면 28, 총장 106 (단위 cm)","183cm/72kg, 32 사이즈 착용","","","","없음","SLACKS","중국","N°1 협력업체","수시 입고중","UNKNOWN (상세 이미지 참조)","WIDE","55","MALE"
"PRD-M-14","남자 카고 와이드 청바지 통큰 데님 팬츠 진청 흑청","의류-하의","도매꾹","PRD-M-14","https://www.domeggook.com/50583735","16500","29900","0.00%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1rH-LIAJdWR4igA9O2Nw4bI_GU5JwNy2b","데님(코튼 100%)","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","XL(32-33): 허리단면 42, 허벅지단면 30, 밑위(앞/뒤) 31/38, 엉덩이단면 50, 밑단 22, 총장 95 / 2XL(34-35): 허리단면 44, 허벅지단면 31, 밑위(앞/뒤) 33/40, 엉덩이단면 52, 밑단 23, 총장 97 / 3XL(36-37): 허리단면 47, 허벅지단면 32, 밑위(앞/뒤) 34/42, 엉덩이단면 54, 밑단 23.5, 총장 100 (단위 cm)","","","","","없음","JEANS","중국","N°1 협력업체","2024년 8월이후","UNKNOWN (상세 이미지 참조)","WIDE","70","MALE"
"PRD-M-15","남성 데일리 화이트 와이드 데님 팬츠 롱 와이드핏 크림진","의류-하의","도매꾹","PRD-M-15","https://www.domeggook.com/65199565","14500","25900","0.00%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1oEo2tZ67oEgyps4i-zjZnkHJ3LA5pQ_E","데님(코튼 100%)","찬물 손세탁 (중성세제) · 건조기 사용 금지","L(30-45): 총장 98-100, 허벅지단면 52-54, 밑단 20, 권장키 166-175, 권장무게 60-70kg / XL(32-47): 총장 100-102, 허벅지단면 53-55, 밑단 21, 권장키 170-180, 권장무게 70-80kg / 2XL(34-49): 총장 102-104, 허벅지단면 54-56, 밑단 21.5, 권장키 175-183, 권장무게 80-90kg / 3XL(36-50): 총장 104-106, 허벅지단면 55-57, 밑단 22, 권장키 180-190, 권장무게 90-110kg (단위 cm, 밴딩 허리)","","보통","약간","없음(비침 없음)","없음","JEANS","중국","N°1 협력업체","2026년 1월 이후 상시제조","UNKNOWN (상세 이미지 참조)","WIDE","50","MALE"
"PRD-30-07","남자울사각패턴와이드팬츠 와이드밴딩팬츠 울바지 세미와이드팬츠","의류-하의","도매꾹","PRD-30-07","https://www.domeggook.com/66687350","7000","13300","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-30-09","남자세미와이드팬츠 남자슬랙스팬츠 세미와이드팬츠 블랙팬츠 슬랙스팬츠 와이드팬츠 세미","의류-하의","도매꾹","PRD-30-09","https://www.domeggook.com/43989873","10100","19200","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SLACKS","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-30-10","셀렉온즈 와이드팬츠 남성여름바지 카고바지 카고팬츠 남자와이드팬츠 냉감바지 트랙팬츠","의류-하의","도매꾹","PRD-30-10","https://www.domeggook.com/66486392","10540","20000","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-G-34","사방스판 여름 남자 카고 조거 바지 기능성 냉감 소재 슬림핏 조거팬츠","의류-하의","도매꾹","PRD-G-34","https://www.domeggook.com/64789104","9950","18900","0.00%","판매중","대기","2026-08-31","","폴리에스터 혼방","드라이 클리닝 권장","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-G-08","사방스판 여름 남자 카고 조거 바지 기능성 냉감 소재 슬림핏 조거팬츠","의류-하의","도매꾹","PRD-G-08","https://www.domeggook.com/64769648","9950","18900","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-W-03","여자 실크 새틴 블라우스 베이지 오피스 하객룩","의류-상의","도매꾹","PRD-W-03","https://www.domeggook.com/44559427","15800","27900","0%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1llioekNBXq4IM_fKrknAlNCzp7QRkDAr","폴리에스터 100%","드라이 클리닝 권장","F(66까지 권장): 어깨폭 37 / 가슴폭 49 / 밑단폭 49 / 소매폭 16 / 소매장 57 / 총길이 62 (cm) - 사이즈는 측정 위치/방법/개인차에 따라 ±4cm 오차 가능","키 164cm / TOPS, BOTTOMS F 사이즈 착용","얇음","없음","있음(밝은색)","없음","SHIRT","중국","N°1 협력업체","N°1 협력업체","UNKNOWN (상세 이미지 참조)","UNKNOWN","5","FEMALE"
"PRD-W-04","로맨틱 레이스 퍼프 블라우스 꽃무늬 크림 셔츠","의류-상의","도매꾹","PRD-W-04","https://www.domeggook.com/55005533","12800","22900","0%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1zRLS1l98oBeRfPPjcEEmLcKxHt5oHErD","면 60%, 폴리에스터 40%","단독 손세탁 · 자연건조 권장","M: 길이 55 / 가슴 50 / 소매 45 / 추천 55~66 (cm), L: 길이 57 / 가슴 53 / 소매 47 / 추천 66~77 (cm) (±1~3cm 오차 있음)","","얇음","없음","있음","없음","SHIRT","중국","N°1 협력업체","2026년 1월 이후 상시제조","UNKNOWN (상세 이미지 참조)","UNKNOWN","5","FEMALE"
"PRD-W-15","모네스트 클래식 니트 투피스 와이드 세트 베이지","의류-상의","도매꾹","PRD-W-15","https://www.domeggook.com/61991827","36300","59900","0%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1eRDRpH-HV93QW1FX_LOqQx3bJhmiTiPW","폴리에스터 100%","찬물 손세탁 (중성세제) · 건조기 사용 금지","상의: 어깨단면 33cm, 가슴단면 50cm, 소매길이 54cm, 총길이 62cm | 하의: 허리단면 34cm, 총길이 103cm (FREE, 단위 cm)","","","","","없음","KNIT","중국","N°1 협력업체","2026년 1월 이후 상시제조","UNKNOWN (상세 이미지 참조)","REGULAR","10","FEMALE"
"PRD-30-14","시원한 레이어드 블랙 레이스셔츠 여성 블라우스 셔츠","의류-상의","도매꾹","PRD-30-14","https://www.domeggook.com/59319239","7000","13300","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-30-15","레이스 페이크카라 여성 셔츠 레이스카라","의류-상의","도매꾹","PRD-30-15","https://www.domeggook.com/61872210","7200","13700","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-50","2L-CBB 1064 여자시스루펀칭반팔니트","의류-상의","도매꾹","36492187","https://www.domeggook.com/36492187","5900","11200","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-51","LND 반폴라 풀오버 니트티 티셔츠 긴팔 겨울 간절기 스웨터","의류-상의","도매꾹","51724295","https://www.domeggook.com/51724295","7900","15000","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-52","오버핏 라운드넥 울 블렌드 니트","의류-상의","도매꾹","62514970","https://www.domeggook.com/62514970","17880","34000","47%","판매중","생성완료","2026-09-06","https://media.fashn.ai/api/a0245bad-3ab0-422b-b4f7-17bd70bae182/product_to_model_0.png","1번: 울60%+아크릴20%+나일론20% / 2번: 울50%+폴리에스테르35%+나일론15% (공급사 고지: 1번과 2번은 소재혼용액이 다릅니다)","울 혼용 소재의 특성상 손세탁 또는 울 코스 세탁을 권장합니다. 건조기 사용은 변형의 위험이 있으니 피해 주세요.","한국사이즈 단면(cm) — 1번(88까지): 어깨45·가슴단면56·팔길이48·소매길이18·소매둘레60·총기장67 / 2번(99까지): 어깨57·가슴단면62·팔길이58·소매길이21·소매둘레66·총기장70","","보통","좋음","없음","없음","KNIT","대한민국","","","머스타드 / 오렌지 / 핑크 / 코랄 / 아이보리 / 그레이 / 브라운 / 카키 / 네이비","","","FEMALE"
"PRD-W-53","여자니트스웨터 여자캐주얼니트 여자니트티 긴팔 루즈핏 베이직 라운드넥 여자","의류-상의","도매꾹","62514609","https://www.domeggook.com/62514609","17460","33200","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-54","스웨터 여성긴팔니트 니트풀오버 여자니트스웨터 여성라운드니트 여자","의류-상의","도매꾹","63880080","https://www.domeggook.com/63880080","23940","45500","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-11","여자 봄 가을 밴딩 와이드 슬랙스 통바지 와이드팬츠 코듀로이톤","의류-하의","도매꾹","PRD-W-11","https://www.domeggook.com/66007636","15780","27900","0%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1kdF9LnZedSrVj6npq_ces5M94H_qz-Kn","폴리에스터 100%","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","M(25): 다리둘레 59, 엉덩이둘레 100, 총장 98 | L(26-27): 다리둘레 61, 엉덩이둘레 104, 총장 99 | XL(27-28): 다리둘레 62, 엉덩이둘레 108, 총장 100 | 2XL(28-29): 다리둘레 63, 엉덩이둘레 112, 총장 101 (단위 cm)","","","","","없음","SLACKS","중국","N°1 협력업체","2023년 5월이후","UNKNOWN (상세 이미지 참조)","WIDE","55","FEMALE"
"PRD-W-12","여자 봄 가을 밴딩 와이드 슬랙스 통바지 팬츠","의류-하의","도매꾹","PRD-W-12","https://www.domeggook.com/66406340","17300","29900","0%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/12h6ZG2YSqfJi2YifnG-QTJ7zODJzlOXq","폴리에스터 100%","찬물 단독 세탁 · 이염 주의","M(25): 다리둘레 59, 엉덩이둘레 100, 총장 98 | L(26-27): 다리둘레 61, 엉덩이둘레 104, 총장 99 | XL(27-28): 다리둘레 62, 엉덩이둘레 108, 총장 100 | 2XL(28-29): 다리둘레 63, 엉덩이둘레 112, 총장 101 (단위 cm)","","","","","없음","SLACKS","중국","N°1 협력업체","2026년 1월 이후 상시제조","UNKNOWN (상세 이미지 참조)","WIDE","55","FEMALE"
"PRD-W-13","여성 여자 하이웨스트 일자 세미 와이드핏 데님 팬츠 진청","의류-하의","도매꾹","PRD-W-13","https://www.domeggook.com/63745936","25000","39900","0%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/10IYoe8irPHqQCdq-6oosfVLPlgjTQQEG","면 52%, 폴리에스터 33.6%, 비스코스 14.4%","찬물 단독 세탁 · 이염 주의","1size: 허리 32cm, 힙 49cm, 허벅지 28cm, 밑단 23cm, 밑위 31cm, 총장 102cm | 2size: 허리 35cm, 힙 52cm, 허벅지 30cm, 밑단 24cm, 밑위 32cm, 총장 103cm | 3size: 허리 41cm, 힙 56cm, 허벅지 31cm, 밑단 26cm, 밑위 34cm, 총장 104cm","","보통","없음","없음","없음","JEANS","중국","N°1 협력업체","2026년 1월 이후 상시제조","UNKNOWN (상세 이미지 참조)","WIDE","30","FEMALE"
"PRD-W-14","겨울 니트 골지 와이드팬츠 따뜻한 밴딩 바지 크림","의류-하의","도매꾹","PRD-W-14","https://www.domeggook.com/62258032","6980","12900","0%","판매중","대기","2026-08-31","https://drive.google.com/drive/folders/1UJFJ1r5Fbf2uCcR-kKTGRDgS5qUeMfVK","폴리에스터 100%","찬물 손세탁 (중성세제) · 건조기 사용 금지","FREE: 허리단면 32cm, 총길이 99cm (단위 cm)","","","","","없음","JOGGER","중국","N°1 협력업체","2026년 1월 이후 상시제조","UNKNOWN (상세 이미지 참조)","WIDE","55","FEMALE"
"PRD-30-16","여름 쿨플리츠 밴딩팬츠 까실이 여성 와이드팬츠 주름바지 데일리 홈웨어 냉감바지","의류-하의","도매꾹","PRD-30-16","https://www.domeggook.com/66944230","3300","6300","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-90","KSS 9957 여자핀턱주름플리츠스커트","의류-하의","도매꾹","PRD-W-11","https://www.domeggook.com/35141079","20800","39500","0%","판매중","대기","2026-08-31","","폴리에스터 100%","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","","","","","","","SKIRT","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-91","여자하의 허리밴딩 골지 니트 팬츠 와이드팬츠 데일리패션","의류-하의","도매꾹","PRD-W-12","https://www.domeggook.com/61400452","18600","35300","0%","판매중","대기","2026-08-31","","폴리에스터 100%","찬물 단독 세탁 · 이염 주의","","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-92","여성 의류 하의 밴딩 와이드 골지 니트 팬츠 DHH-A46","의류-하의","도매꾹","PRD-W-13","https://www.domeggook.com/63456656","20000","38000","0%","판매중","대기","2026-08-31","","면 52%, 폴리에스터 33.6%, 비스코스 14.4%","찬물 단독 세탁 · 이염 주의","","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-30-17","하이웨스트 블랙 플리츠 미니스커트","의류-하의","도매꾹","PRD-30-17","https://www.domeggook.com/66399558","7083","13500","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","SKIRT","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-W-55","꽃자수 8부 린넨 배기 팬츠 여성 봄 여름 냉장고 아이스 밴딩 슬랙스 여자 마바지","의류-하의","도매꾹","45721008","https://www.domeggook.com/45721008","6900","13100","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SLACKS","","","","UNKNOWN (상세 이미지 참조)","","","FEMALE"
"PRD-30-01","베이직 슬림 골지 하이넥 니트","의류-상의","도매꾹","PRD-30-01","https://www.domeggook.com/62738108","10400","19800","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-30-02","페이크카라 페이크카라 남녀 터틀넥 공용 페이크카라 한국판 옥스포드 셔츠카라 가을 ","의류-상의","도매꾹","PRD-30-02","https://www.domeggook.com/61211417","3960","7500","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-G-50","투톤 그래픽 프린트 맨투맨","의류-상의","도매꾹","48681905","https://www.domeggook.com/48681905","16400","31200","47%","판매중","생성완료","2026-09-06","https://media.fashn.ai/api/a76c8468-a405-4493-af01-2800e84d8e8a/product_to_model_0.png","폴리에스터 100% (공급사 표기) — 브랜드 LND","중성세제를 사용해 미온수로 세탁해 주세요. 건조기 사용은 피하고 그늘에서 건조해 주세요. 다림질 시 낮은 온도를 사용해 주세요.","","","보통","없음 (니트 아님 — 원단 특성상 정보 없음)","","","TSHIRT","베트남","","","카키/블랙 · 크레이&와인 · 화이트&네이비 · 크레이&민트 · 카키&크레이","","","GENDERLESS"
"PRD-G-51","여름 남성 여성 티셔츠 에어로쿨 쿨론 카라티 반팔 기능성티 남여공용 사계절","의류-상의","도매꾹","23465715","https://www.domeggook.com/23465715","9000","17100","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-G-52","여성후드티 겨울철 후드티 가을후드티 남녀공용 여자후드티 남여공용후드티","의류-상의","도매꾹","62555130","https://www.domeggook.com/62555130","19450","37000","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-G-53","남여공용후드티 가을후드티 후드티 남자 여자후드티 남성후드티 남자후드티","의류-상의","도매꾹","62592641","https://www.domeggook.com/62592641","19450","37000","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-G-54","트랜디아이 남녀공용 수입 가을 겨울 후드 캥거루 포켓 캐주얼 니트 스웨터","의류-상의","도매꾹","62447388","https://www.domeggook.com/62447388","79900","151800","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-G-55","오버핏 케이블 니트 스웨터 남녀공용 소프트그레이 데일리룩","의류-상의","도매꾹","62479828","https://www.domeggook.com/62479828","19200","36500","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-G-56","반목폴라 터틀넥 니트티 남녀공용 니트티셔츠 반폴라니트","의류-상의","도매꾹","66460368","https://www.domeggook.com/66460368","15720","29900","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-G-57","니트 반목폴라 목티 목폴라 겨울 하프넥 터틀넥 티셔츠 이너 폴라 남여공용 반폴라","의류-상의","도매꾹","62050158","https://www.domeggook.com/62050158","12300","23400","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-30-06","부드러운 코튼면스판 사각바지/통넓은 바지/항아리바지/통바지/와이드 팬츠/엄마바지/","의류-하의","도매꾹","PRD-30-06","https://www.domeggook.com/67607666","7000","13300","0%","판매중","대기","2026-08-31","","스판","기계세탁 가능 (중성세제) · 중온 다림질","","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-30-08","밴딩 9부 팬츠 세미와이드팬츠 8부와이드팬츠","의류-하의","도매꾹","PRD-30-08","https://www.domeggook.com/66583473","6990","13300","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-30-18","LND (당일출고) 겨울 니트 골지 와이드팬츠 따뜻한 밴딩 트레이닝 홈웨어 바지","의류-하의","도매꾹","PRD-30-18","https://www.domeggook.com/62258032","6980","13300","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","SWEATPANTS","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
"PRD-G-30","데일리핏 카고 유니섹스 하프포켓팬츠 남녀공용 와이드 트레이닝 반바지 운동복 5부 ","의류-하의","도매꾹","PRD-G-30","https://www.domeggook.com/60078166","4500","8600","0%","판매중","대기","2026-08-31","","폴리에스터 혼방","드라이 클리닝 권장","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","","","GENDERLESS"
